condition,stage,max_sugar,max_sodium,max_fat,max_carbs
Diabetes,Stage1,30,,,70
Diabetes,Stage2,25,,,60
Diabetes,Stage3,20,,,50
Hypertension,Stage1,,1800,,
Hypertension,Stage2,,1500,,
Hypertension,Stage3,,1200,,
HeartDisease,Stage1,,,70,
HeartDisease,Stage2,,,65,
HeartDisease,Stage3,,,60,
KidneyDisease,Stage2,,1500,,
KidneyDisease,Stage3,,1200,,
KidneyDisease,Stage4,,1000,,
KidneyDisease,Stage5,,800,,
Obesity,Stage1,25,,70,80
Obesity,Stage2,20,,65,70
Obesity,Stage3,15,,60,60
FattyLiver,Stage1,25,,65,70
FattyLiver,Stage2,20,,60,65
FattyLiver,Stage3,15,,55,60
HighCholesterol,Stage1,,,65,
HighCholesterol,Stage2,,,60,
HighCholesterol,Stage3,,,55,
PCOS,Stage1,25,,,60
PCOS,Stage2,20,,,55
PCOS,Stage3,15,,,50
Thyroid,Stage1,30,,70,80
Thyroid,Stage2,25,,65,70
Thyroid,Stage3,20,,60,60
Gastritis,Stage1,30,,60,70
Gastritis,Stage2,25,,55,60
Gastritis,Stage3,20,,50,50
LiverDisease,Stage1,25,,65,70
LiverDisease,Stage2,20,,60,65
LiverDisease,Stage3,15,,55,60
